id,name,city,state,categories,mission_goals,description,registration_id,accepts_items,accepts_volunteer_skills,website
1040,Asha Trust,Jaipur,Rajasthan,agriculture,"Focused on inclusive agriculture programs, especially targeting women, children and marginalized groups.","Asha Trust works across Jaipur, offering programs in agriculture. They focus on long-term impact and community engagement.",REG20001970,,"marketing, medical, event management",https://www.ashatrust.org
1041,Saathi Foundation,Bhopal,Madhya Pradesh,"microfinance, education","We provide support and resources for microfinance, aiming to build local resilience and skills.",Saathi Foundation runs multiple initiatives in Bhopal related to microfinance and works closely with local beneficiaries.,REG21182271,"clothes, books, blankets",fundraising,
1042,Sahyog Trust,Chennai,Tamil Nadu,"women empowerment, rural development",Committed to delivering scalable women empowerment interventions through partnerships with local stakeholders.,A grassroots organization dedicated to women empowerment with experience in project implementation and volunteer coordination.,REG44847072,"kitchenware, stationery, books","logistics, data analysis, teaching",https://www.sahyogtrust.org
1043,Dhanak Federation,Thiruvananthapuram,Kerala,rural development,To improve access to rural development services for underserved communities in Thiruvananthapuram and surrounding areas.,"Dhanak Federation works across Thiruvananthapuram, offering programs in rural development. They focus on long-term impact and community engagement.",REG26771073,kitchenware,"teaching, event management, data analysis",
1044,Samarpan Charitable Trust,Hyderabad,Telangana,"disability support, microfinance",Committed to delivering scalable disability support interventions through partnerships with local stakeholders.,Samarpan Charitable Trust runs multiple initiatives in Hyderabad related to disability support and works closely with local beneficiaries.,REG15834474,,"legal aid, teaching",https://www.samarpancharitabletrust.org
1045,Nirmaan Trust,Visakhapatnam,Andhra Pradesh,disability support,Committed to delivering scalable disability support interventions through partnerships with local stakeholders.,"Nirmaan Trust works across Visakhapatnam, offering programs in disability support. They focus on long-term impact and community engagement.",REG33395975,toys,,
1046,Prerna Seva Kendra,Pune,Maharashtra,women empowerment,"Focused on inclusive women empowerment programs, especially targeting women, children and marginalized groups.","Prerna Seva Kendra works across Pune, offering programs in women empowerment. They focus on long-term impact and community engagement.",REG94150676,,mentoring,https://www.prernasevakendra.org
1047,Sankalp Initiative,Chennai,Tamil Nadu,skill development,"We provide support and resources for skill development, aiming to build local resilience and skills.",A grassroots organization dedicated to skill development with experience in project implementation and volunteer coordination.,REG23757777,,"medical, project management",
1048,Saathi Charitable Trust,Bengaluru,Karnataka,elderly care,Committed to delivering scalable elderly care interventions through partnerships with local stakeholders.,A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG93680978,"food, hygiene kits, toys","software development, teaching, legal aid",
1049,Navjeevan Charitable Trust,Delhi,Delhi,"child welfare, disability support",To improve access to child welfare services for underserved communities in Delhi and surrounding areas.,A grassroots organization dedicated to child welfare with experience in project implementation and volunteer coordination.,REG40505979,"books, clothes, hygiene kits",medical,https://www.navjeevancharitabletrust.org
1050,Nayi Disha Seva Kendra,Pune,Maharashtra,skill development,"Working towards sustainable skill development solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to skill development with experience in project implementation and volunteer coordination.,REG55009980,"kitchenware, toys, blankets",,
1051,Sankalp Seva Kendra,Bengaluru,Karnataka,"disaster relief, rural development",Committed to delivering scalable disaster relief interventions through partnerships with local stakeholders.,"Sankalp Seva Kendra works across Bengaluru, offering programs in disaster relief. They focus on long-term impact and community engagement.",REG26182181,books,"teaching, mentoring, event management",https://www.sankalpsevakendra.org
1052,Samanvay Initiative,Mumbai,Maharashtra,water & sanitation,"Working towards sustainable water & sanitation solutions, focusing on community-driven projects and capacity building.","Samanvay Initiative works across Mumbai, offering programs in water & sanitation. They focus on long-term impact and community engagement.",REG66505382,"kitchenware, clothes, blankets","medical, software development, fundraising",https://www.samanvayinitiative.org
1053,Navjeevan Federation,Chennai,Tamil Nadu,"research, health","We provide support and resources for research, aiming to build local resilience and skills.",Navjeevan Federation runs multiple initiatives in Chennai related to research and works closely with local beneficiaries.,REG72234583,"stationery, books",,
1054,Jeevan Society,Bhopal,Madhya Pradesh,elderly care,"Focused on inclusive elderly care programs, especially targeting women, children and marginalized groups.","Jeevan Society works across Bhopal, offering programs in elderly care. They focus on long-term impact and community engagement.",REG89734084,"medical supplies, toys","legal aid, counselling, data analysis",
